,site_no,dateTime,water discharge,nitrite+nitrate,latitude,longitude,altitude
72,4175748,2021-05-26,1.75,0.881,41.8579611,-84.1596944,798.79
73,4175748,2021-05-26,1.75,0.881,41.8579611,-84.1596944,798.79
74,4175748,2021-05-27,1.43,0.847,41.8579611,-84.1596944,798.79
75,4175748,2021-05-27,1.43,0.847,41.8579611,-84.1596944,798.79
76,4175748,2021-05-28,1.73,0.84,41.8579611,-84.1596944,798.79
77,4175748,2021-05-28,1.73,0.84,41.8579611,-84.1596944,798.79
78,4175748,2021-05-29,2.46,0.84,41.8579611,-84.1596944,798.79
79,4175748,2021-05-29,2.46,0.84,41.8579611,-84.1596944,798.79
80,4175748,2021-05-30,1.71,0.84,41.8579611,-84.1596944,798.79
81,4175748,2021-05-30,1.71,0.84,41.8579611,-84.1596944,798.79
82,4175748,2021-05-31,1.26,0.84,41.8579611,-84.1596944,798.79
83,4175748,2021-05-31,1.26,0.84,41.8579611,-84.1596944,798.79
84,4175748,2021-06-01,0.99,0.84,41.8579611,-84.1596944,798.79
85,4175748,2021-06-01,0.99,0.84,41.8579611,-84.1596944,798.79
86,4175748,2021-06-02,1.23,0.84,41.8579611,-84.1596944,798.79
87,4175748,2021-06-02,1.23,0.84,41.8579611,-84.1596944,798.79
88,4175748,2021-06-03,4.69,0.84,41.8579611,-84.1596944,798.79
89,4175748,2021-06-03,4.69,0.84,41.8579611,-84.1596944,798.79
90,4175748,2021-06-04,2.91,0.84,41.8579611,-84.1596944,798.79
91,4175748,2021-06-04,2.91,0.84,41.8579611,-84.1596944,798.79
92,4175748,2021-06-05,1.82,0.84,41.8579611,-84.1596944,798.79
93,4175748,2021-06-05,1.82,0.84,41.8579611,-84.1596944,798.79
94,4175748,2021-06-06,1.26,0.84,41.8579611,-84.1596944,798.79
95,4175748,2021-06-06,1.26,0.84,41.8579611,-84.1596944,798.79
96,4175748,2021-06-07,0.9,0.84,41.8579611,-84.1596944,798.79
97,4175748,2021-06-07,0.9,0.84,41.8579611,-84.1596944,798.79
98,4175748,2021-06-08,0.82,0.84,41.8579611,-84.1596944,798.79
99,4175748,2021-06-08,0.82,0.84,41.8579611,-84.1596944,798.79
100,4175748,2021-06-09,0.71,0.84,41.8579611,-84.1596944,798.79
101,4175748,2021-06-09,0.71,0.84,41.8579611,-84.1596944,798.79
102,4175748,2021-06-10,0.61,0.84,41.8579611,-84.1596944,798.79
103,4175748,2021-06-10,0.61,0.84,41.8579611,-84.1596944,798.79
104,4175748,2021-06-11,0.46,0.84,41.8579611,-84.1596944,798.79
105,4175748,2021-06-11,0.46,0.84,41.8579611,-84.1596944,798.79
106,4175748,2021-06-12,0.31,0.84,41.8579611,-84.1596944,798.79
107,4175748,2021-06-12,0.31,0.84,41.8579611,-84.1596944,798.79
108,4175748,2021-06-13,0.24,0.84,41.8579611,-84.1596944,798.79
109,4175748,2021-06-13,0.24,0.84,41.8579611,-84.1596944,798.79
110,4175748,2021-06-14,0.16,0.84,41.8579611,-84.1596944,798.79
111,4175748,2021-06-14,0.16,0.84,41.8579611,-84.1596944,798.79
112,4175748,2021-06-15,0.14,0.84,41.8579611,-84.1596944,798.79
113,4175748,2021-06-15,0.14,0.84,41.8579611,-84.1596944,798.79
114,4175748,2021-06-16,0.09,0.84,41.8579611,-84.1596944,798.79
115,4175748,2021-06-16,0.09,0.84,41.8579611,-84.1596944,798.79
116,4175748,2021-06-17,0.07,0.84,41.8579611,-84.1596944,798.79
117,4175748,2021-06-17,0.07,0.84,41.8579611,-84.1596944,798.79
118,4175748,2021-06-18,0.53,0.84,41.8579611,-84.1596944,798.79
119,4175748,2021-06-18,0.53,0.84,41.8579611,-84.1596944,798.79
120,4175748,2021-06-19,0.67,0.84,41.8579611,-84.1596944,798.79
121,4175748,2021-06-19,0.67,0.84,41.8579611,-84.1596944,798.79
122,4175748,2021-06-20,2.71,1.06,41.8579611,-84.1596944,798.79
123,4175748,2021-06-20,2.71,1.06,41.8579611,-84.1596944,798.79
124,4175748,2021-06-21,153.0,14.6,41.8579611,-84.1596944,798.79
125,4175748,2021-06-21,153.0,14.6,41.8579611,-84.1596944,798.79
126,4175748,2021-06-22,69.8,6.96,41.8579611,-84.1596944,798.79
127,4175748,2021-06-22,69.8,6.96,41.8579611,-84.1596944,798.79
128,4175748,2021-06-23,19.4,2.66,41.8579611,-84.1596944,798.79
129,4175748,2021-06-23,19.4,2.66,41.8579611,-84.1596944,798.79
130,4175748,2021-06-24,9.76,1.79,41.8579611,-84.1596944,798.79
131,4175748,2021-06-24,9.76,1.79,41.8579611,-84.1596944,798.79
132,4175748,2021-06-25,21.1,2.71,41.8579611,-84.1596944,798.79
133,4175748,2021-06-25,21.1,2.71,41.8579611,-84.1596944,798.79
134,4175748,2021-06-26,159.0,12.7,41.8579611,-84.1596944,798.79
135,4175748,2021-06-26,159.0,12.7,41.8579611,-84.1596944,798.79
136,4175748,2021-06-27,62.0,11.9,41.8579611,-84.1596944,798.79
137,4175748,2021-06-27,62.0,11.9,41.8579611,-84.1596944,798.79
138,4175748,2021-06-28,20.6,5.14,41.8579611,-84.1596944,798.79
139,4175748,2021-06-28,20.6,5.14,41.8579611,-84.1596944,798.79
140,4175748,2021-06-29,13.1,0.808,41.8579611,-84.1596944,798.79
141,4175748,2021-06-29,13.1,0.808,41.8579611,-84.1596944,798.79
142,4175748,2021-06-30,9.26,0.8,41.8579611,-84.1596944,798.79
143,4175748,2021-06-30,9.26,0.8,41.8579611,-84.1596944,798.79
144,4175748,2021-07-01,7.46,0.8,41.8579611,-84.1596944,798.79
145,4175748,2021-07-01,7.46,0.8,41.8579611,-84.1596944,798.79
146,4175748,2021-07-02,5.46,0.8,41.8579611,-84.1596944,798.79
147,4175748,2021-07-02,5.46,0.8,41.8579611,-84.1596944,798.79
148,4175748,2021-07-03,3.95,0.8,41.8579611,-84.1596944,798.79
149,4175748,2021-07-03,3.95,0.8,41.8579611,-84.1596944,798.79
150,4175748,2021-07-04,2.99,0.8,41.8579611,-84.1596944,798.79
151,4175748,2021-07-04,2.99,0.8,41.8579611,-84.1596944,798.79
152,4175748,2021-07-05,2.21,0.8,41.8579611,-84.1596944,798.79
153,4175748,2021-07-05,2.21,0.8,41.8579611,-84.1596944,798.79
154,4175748,2021-07-06,1.67,0.8,41.8579611,-84.1596944,798.79
155,4175748,2021-07-06,1.67,0.8,41.8579611,-84.1596944,798.79
156,4175748,2021-07-07,1.36,0.8,41.8579611,-84.1596944,798.79
157,4175748,2021-07-07,1.36,0.8,41.8579611,-84.1596944,798.79
158,4175748,2021-07-08,1.42,0.8,41.8579611,-84.1596944,798.79
159,4175748,2021-07-08,1.42,0.8,41.8579611,-84.1596944,798.79
160,4175748,2021-07-09,1.22,0.8,41.8579611,-84.1596944,798.79
161,4175748,2021-07-09,1.22,0.8,41.8579611,-84.1596944,798.79
162,4175748,2021-07-10,0.9,0.8,41.8579611,-84.1596944,798.79
163,4175748,2021-07-10,0.9,0.8,41.8579611,-84.1596944,798.79
164,4175748,2021-07-11,1.17,0.8,41.8579611,-84.1596944,798.79
165,4175748,2021-07-11,1.17,0.8,41.8579611,-84.1596944,798.79
166,4175748,2021-07-12,1.72,0.8,41.8579611,-84.1596944,798.79
167,4175748,2021-07-12,1.72,0.8,41.8579611,-84.1596944,798.79
168,4175748,2021-07-13,16.7,3.15,41.8579611,-84.1596944,798.79
169,4175748,2021-07-13,16.7,3.15,41.8579611,-84.1596944,798.79
170,4175748,2021-07-14,48.2,6.05,41.8579611,-84.1596944,798.79
171,4175748,2021-07-14,48.2,6.05,41.8579611,-84.1596944,798.79
172,4175748,2021-07-15,11.2,5.42,41.8579611,-84.1596944,798.79
173,4175748,2021-07-15,11.2,5.42,41.8579611,-84.1596944,798.79
174,4175748,2021-07-16,29.7,4.24,41.8579611,-84.1596944,798.79
175,4175748,2021-07-16,29.7,4.24,41.8579611,-84.1596944,798.79
176,4175748,2021-07-17,158.0,4.65,41.8579611,-84.1596944,798.79
177,4175748,2021-07-17,158.0,4.65,41.8579611,-84.1596944,798.79
178,4175748,2021-07-18,53.1,4.4,41.8579611,-84.1596944,798.79
179,4175748,2021-07-18,53.1,4.4,41.8579611,-84.1596944,798.79
180,4175748,2021-07-19,19.0,3.75,41.8579611,-84.1596944,798.79
181,4175748,2021-07-19,19.0,3.75,41.8579611,-84.1596944,798.79
182,4175748,2021-07-20,10.9,3.08,41.8579611,-84.1596944,798.79
183,4175748,2021-07-20,10.9,3.08,41.8579611,-84.1596944,798.79
184,4175748,2021-07-21,6.87,2.41,41.8579611,-84.1596944,798.79
185,4175748,2021-07-21,6.87,2.41,41.8579611,-84.1596944,798.79
186,4175748,2021-07-22,4.43,1.74,41.8579611,-84.1596944,798.79
187,4175748,2021-07-22,4.43,1.74,41.8579611,-84.1596944,798.79
188,4175748,2021-07-23,5.59,1.7,41.8579611,-84.1596944,798.79
189,4175748,2021-07-23,5.59,1.7,41.8579611,-84.1596944,798.79
190,4175748,2021-07-24,22.2,2.43,41.8579611,-84.1596944,798.79
191,4175748,2021-07-24,22.2,2.43,41.8579611,-84.1596944,798.79
192,4175748,2021-07-25,209.0,1.91,41.8579611,-84.1596944,798.79
193,4175748,2021-07-25,209.0,1.91,41.8579611,-84.1596944,798.79
194,4175748,2021-07-26,79.9,2.01,41.8579611,-84.1596944,798.79
195,4175748,2021-07-26,79.9,2.01,41.8579611,-84.1596944,798.79
196,4175748,2021-07-27,30.5,1.77,41.8579611,-84.1596944,798.79
197,4175748,2021-07-27,30.5,1.77,41.8579611,-84.1596944,798.79
198,4175748,2021-07-28,15.3,1.53,41.8579611,-84.1596944,798.79
199,4175748,2021-07-28,15.3,1.53,41.8579611,-84.1596944,798.79
200,4175748,2021-07-29,10.1,1.3,41.8579611,-84.1596944,798.79
201,4175748,2021-07-29,10.1,1.3,41.8579611,-84.1596944,798.79
202,4175748,2021-07-30,7.14,1.1,41.8579611,-84.1596944,798.79
203,4175748,2021-07-30,7.14,1.1,41.8579611,-84.1596944,798.79
204,4175748,2021-07-31,4.86,0.898,41.8579611,-84.1596944,798.79
205,4175748,2021-07-31,4.86,0.898,41.8579611,-84.1596944,798.79
206,4175748,2021-08-01,3.62,0.8,41.8579611,-84.1596944,798.79
207,4175748,2021-08-01,3.62,0.8,41.8579611,-84.1596944,798.79
208,4175748,2021-08-02,2.79,0.8,41.8579611,-84.1596944,798.79
209,4175748,2021-08-02,2.79,0.8,41.8579611,-84.1596944,798.79
210,4175748,2021-08-03,2.18,0.8,41.8579611,-84.1596944,798.79
211,4175748,2021-08-03,2.18,0.8,41.8579611,-84.1596944,798.79
212,4175748,2021-08-04,1.73,0.8,41.8579611,-84.1596944,798.79
213,4175748,2021-08-04,1.73,0.8,41.8579611,-84.1596944,798.79
214,4175748,2021-08-05,1.37,0.8,41.8579611,-84.1596944,798.79
215,4175748,2021-08-05,1.37,0.8,41.8579611,-84.1596944,798.79
216,4175748,2021-08-06,1.09,0.8,41.8579611,-84.1596944,798.79
217,4175748,2021-08-06,1.09,0.8,41.8579611,-84.1596944,798.79
218,4175748,2021-08-07,1.16,0.8,41.8579611,-84.1596944,798.79
219,4175748,2021-08-07,1.16,0.8,41.8579611,-84.1596944,798.79
220,4175748,2021-08-08,1.05,0.8,41.8579611,-84.1596944,798.79
221,4175748,2021-08-08,1.05,0.8,41.8579611,-84.1596944,798.79
222,4175748,2021-08-09,0.76,0.8,41.8579611,-84.1596944,798.79
223,4175748,2021-08-09,0.76,0.8,41.8579611,-84.1596944,798.79
224,4175748,2021-08-10,1.25,0.8,41.8579611,-84.1596944,798.79
225,4175748,2021-08-10,1.25,0.8,41.8579611,-84.1596944,798.79
226,4175748,2021-08-11,2.36,0.8,41.8579611,-84.1596944,798.79
227,4175748,2021-08-11,2.36,0.8,41.8579611,-84.1596944,798.79
228,4175748,2021-08-12,6.23,0.8,41.8579611,-84.1596944,798.79
229,4175748,2021-08-12,6.23,0.8,41.8579611,-84.1596944,798.79
230,4175748,2021-08-13,5.11,0.8,41.8579611,-84.1596944,798.79
231,4175748,2021-08-13,5.11,0.8,41.8579611,-84.1596944,798.79
232,4175748,2021-08-14,2.4,0.8,41.8579611,-84.1596944,798.79
233,4175748,2021-08-14,2.4,0.8,41.8579611,-84.1596944,798.79
234,4175748,2021-08-15,1.41,0.8,41.8579611,-84.1596944,798.79
235,4175748,2021-08-15,1.41,0.8,41.8579611,-84.1596944,798.79
236,4175748,2021-08-16,0.93,0.8,41.8579611,-84.1596944,798.79
237,4175748,2021-08-16,0.93,0.8,41.8579611,-84.1596944,798.79
238,4175748,2021-08-17,0.72,0.8,41.8579611,-84.1596944,798.79
239,4175748,2021-08-17,0.72,0.8,41.8579611,-84.1596944,798.79
240,4175748,2021-08-18,0.58,0.8,41.8579611,-84.1596944,798.79
241,4175748,2021-08-18,0.58,0.8,41.8579611,-84.1596944,798.79
242,4175748,2021-08-19,0.37,0.8,41.8579611,-84.1596944,798.79
243,4175748,2021-08-19,0.37,0.8,41.8579611,-84.1596944,798.79
244,4175748,2021-08-20,0.24,0.8,41.8579611,-84.1596944,798.79
245,4175748,2021-08-20,0.24,0.8,41.8579611,-84.1596944,798.79
246,4175748,2021-08-21,0.16,0.8,41.8579611,-84.1596944,798.79
247,4175748,2021-08-21,0.16,0.8,41.8579611,-84.1596944,798.79
248,4175748,2021-08-22,0.11,0.8,41.8579611,-84.1596944,798.79
249,4175748,2021-08-22,0.11,0.8,41.8579611,-84.1596944,798.79
250,4175748,2021-08-23,0.07,0.8,41.8579611,-84.1596944,798.79
251,4175748,2021-08-23,0.07,0.8,41.8579611,-84.1596944,798.79
252,4175748,2021-08-24,0.06,0.8,41.8579611,-84.1596944,798.79
253,4175748,2021-08-24,0.06,0.8,41.8579611,-84.1596944,798.79
254,4175748,2021-08-25,0.09,0.8,41.8579611,-84.1596944,798.79
255,4175748,2021-08-25,0.09,0.8,41.8579611,-84.1596944,798.79
256,4175748,2021-08-26,0.09,0.8,41.8579611,-84.1596944,798.79
257,4175748,2021-08-26,0.09,0.8,41.8579611,-84.1596944,798.79
258,4175748,2021-08-27,0.09,0.8,41.8579611,-84.1596944,798.79
259,4175748,2021-08-27,0.09,0.8,41.8579611,-84.1596944,798.79
260,4175748,2021-08-28,0.1,0.8,41.8579611,-84.1596944,798.79
261,4175748,2021-08-28,0.1,0.8,41.8579611,-84.1596944,798.79
262,4175748,2021-08-29,0.11,0.8,41.8579611,-84.1596944,798.79
263,4175748,2021-08-29,0.11,0.8,41.8579611,-84.1596944,798.79
264,4175748,2021-08-30,0.14,0.8,41.8579611,-84.1596944,798.79
265,4175748,2021-08-30,0.14,0.8,41.8579611,-84.1596944,798.79
266,4175748,2021-08-31,0.12,0.8,41.8579611,-84.1596944,798.79
267,4175748,2021-08-31,0.12,0.8,41.8579611,-84.1596944,798.79
268,4175748,2021-09-01,0.1,0.8,41.8579611,-84.1596944,798.79
269,4175748,2021-09-01,0.1,0.8,41.8579611,-84.1596944,798.79
270,4175748,2021-09-02,0.1,0.8,41.8579611,-84.1596944,798.79
271,4175748,2021-09-02,0.1,0.8,41.8579611,-84.1596944,798.79
272,4175748,2021-09-03,0.08,0.8,41.8579611,-84.1596944,798.79
273,4175748,2021-09-03,0.08,0.8,41.8579611,-84.1596944,798.79
274,4175748,2021-09-04,0.08,0.8,41.8579611,-84.1596944,798.79
275,4175748,2021-09-04,0.08,0.8,41.8579611,-84.1596944,798.79
276,4175748,2021-09-05,0.09,0.8,41.8579611,-84.1596944,798.79
277,4175748,2021-09-05,0.09,0.8,41.8579611,-84.1596944,798.79
278,4175748,2021-09-06,0.07,0.8,41.8579611,-84.1596944,798.79
279,4175748,2021-09-06,0.07,0.8,41.8579611,-84.1596944,798.79
280,4175748,2021-09-07,0.07,0.8,41.8579611,-84.1596944,798.79
281,4175748,2021-09-07,0.07,0.8,41.8579611,-84.1596944,798.79
282,4175748,2021-09-08,0.13,0.8,41.8579611,-84.1596944,798.79
283,4175748,2021-09-08,0.13,0.8,41.8579611,-84.1596944,798.79
284,4175748,2021-09-09,0.08,0.8,41.8579611,-84.1596944,798.79
285,4175748,2021-09-09,0.08,0.8,41.8579611,-84.1596944,798.79
286,4175748,2021-09-10,0.07,0.8,41.8579611,-84.1596944,798.79
287,4175748,2021-09-10,0.07,0.8,41.8579611,-84.1596944,798.79
288,4175748,2021-09-11,0.07,0.8,41.8579611,-84.1596944,798.79
289,4175748,2021-09-11,0.07,0.8,41.8579611,-84.1596944,798.79
290,4175748,2021-09-12,0.07,0.8,41.8579611,-84.1596944,798.79
291,4175748,2021-09-12,0.07,0.8,41.8579611,-84.1596944,798.79
292,4175748,2021-09-13,0.07,0.8,41.8579611,-84.1596944,798.79
293,4175748,2021-09-13,0.07,0.8,41.8579611,-84.1596944,798.79
294,4175748,2021-09-14,0.45,0.8,41.8579611,-84.1596944,798.79
295,4175748,2021-09-14,0.45,0.8,41.8579611,-84.1596944,798.79
296,4175748,2021-09-15,2.13,0.8,41.8579611,-84.1596944,798.79
297,4175748,2021-09-15,2.13,0.8,41.8579611,-84.1596944,798.79
298,4175748,2021-09-16,0.65,0.8,41.8579611,-84.1596944,798.79
299,4175748,2021-09-16,0.65,0.8,41.8579611,-84.1596944,798.79
300,4175748,2021-09-17,0.21,0.8,41.8579611,-84.1596944,798.79
301,4175748,2021-09-17,0.21,0.8,41.8579611,-84.1596944,798.79
302,4175748,2021-09-18,0.11,0.8,41.8579611,-84.1596944,798.79
303,4175748,2021-09-18,0.11,0.8,41.8579611,-84.1596944,798.79
304,4175748,2021-09-19,0.08,0.8,41.8579611,-84.1596944,798.79
305,4175748,2021-09-19,0.08,0.8,41.8579611,-84.1596944,798.79
306,4175748,2021-09-20,0.07,0.8,41.8579611,-84.1596944,798.79
307,4175748,2021-09-20,0.07,0.8,41.8579611,-84.1596944,798.79
308,4175748,2021-09-21,0.12,0.8,41.8579611,-84.1596944,798.79
309,4175748,2021-09-21,0.12,0.8,41.8579611,-84.1596944,798.79
310,4175748,2021-09-22,7.48,1.94,41.8579611,-84.1596944,798.79
311,4175748,2021-09-22,7.48,1.94,41.8579611,-84.1596944,798.79
312,4175748,2021-09-23,147.0,3.98,41.8579611,-84.1596944,798.79
313,4175748,2021-09-23,147.0,3.98,41.8579611,-84.1596944,798.79
314,4175748,2021-09-24,94.6,4.06,41.8579611,-84.1596944,798.79
315,4175748,2021-09-24,94.6,4.06,41.8579611,-84.1596944,798.79
316,4175748,2021-09-25,44.6,3.46,41.8579611,-84.1596944,798.79
317,4175748,2021-09-25,44.6,3.46,41.8579611,-84.1596944,798.79
318,4175748,2021-09-26,29.2,2.51,41.8579611,-84.1596944,798.79
319,4175748,2021-09-26,29.2,2.51,41.8579611,-84.1596944,798.79
320,4175748,2021-09-27,15.8,1.55,41.8579611,-84.1596944,798.79
321,4175748,2021-09-27,15.8,1.55,41.8579611,-84.1596944,798.79
322,4175748,2021-09-28,10.4,0.84,41.8579611,-84.1596944,798.79
323,4175748,2021-09-28,10.4,0.84,41.8579611,-84.1596944,798.79
324,4175748,2021-09-29,7.55,0.8,41.8579611,-84.1596944,798.79
325,4175748,2021-09-29,7.55,0.8,41.8579611,-84.1596944,798.79
326,4175748,2021-09-30,5.78,0.8,41.8579611,-84.1596944,798.79
327,4175748,2021-09-30,5.78,0.8,41.8579611,-84.1596944,798.79
328,4175748,2021-10-01,4.67,0.8,41.8579611,-84.1596944,798.79
329,4175748,2021-10-01,4.67,0.8,41.8579611,-84.1596944,798.79
330,4175748,2021-10-02,4.38,0.8,41.8579611,-84.1596944,798.79
331,4175748,2021-10-02,4.38,0.8,41.8579611,-84.1596944,798.79
332,4175748,2021-10-03,18.6,2.37,41.8579611,-84.1596944,798.79
333,4175748,2021-10-03,18.6,2.37,41.8579611,-84.1596944,798.79
334,4175748,2021-10-04,92.0,4.18,41.8579611,-84.1596944,798.79
335,4175748,2021-10-04,92.0,4.18,41.8579611,-84.1596944,798.79
336,4175748,2021-10-05,80.5,3.34,41.8579611,-84.1596944,798.79
337,4175748,2021-10-05,80.5,3.34,41.8579611,-84.1596944,798.79
338,4175748,2021-10-06,36.7,3.13,41.8579611,-84.1596944,798.79
339,4175748,2021-10-06,36.7,3.13,41.8579611,-84.1596944,798.79
340,4175748,2021-10-07,38.2,2.67,41.8579611,-84.1596944,798.79
341,4175748,2021-10-07,38.2,2.67,41.8579611,-84.1596944,798.79
342,4175748,2021-10-08,116.0,2.35,41.8579611,-84.1596944,798.79
343,4175748,2021-10-08,116.0,2.35,41.8579611,-84.1596944,798.79
344,4175748,2021-10-09,56.4,2.35,41.8579611,-84.1596944,798.79
345,4176063,2021-04-20,4.23,5.23,41.7776111,-84.03688889,706.65
346,4176063,2021-04-20,4.23,5.23,41.7776111,-84.03688889,706.65
347,4176063,2021-04-21,4.63,5.19,41.7776111,-84.03688889,706.65
348,4176063,2021-04-21,4.63,5.19,41.7776111,-84.03688889,706.65
349,4176063,2021-04-22,7.25,5.25,41.7776111,-84.03688889,706.65
350,4176063,2021-04-22,7.25,5.25,41.7776111,-84.03688889,706.65
351,4176063,2021-04-23,6.7,5.33,41.7776111,-84.03688889,706.65
352,4176063,2021-04-23,6.7,5.33,41.7776111,-84.03688889,706.65
353,4176063,2021-04-24,5.73,5.42,41.7776111,-84.03688889,706.65
354,4176063,2021-04-24,5.73,5.42,41.7776111,-84.03688889,706.65
355,4176063,2021-04-25,5.16,5.5,41.7776111,-84.03688889,706.65
356,4176063,2021-04-25,5.16,5.5,41.7776111,-84.03688889,706.65
357,4176063,2021-04-26,4.12,5.54,41.7776111,-84.03688889,706.65
358,4176063,2021-04-26,4.12,5.54,41.7776111,-84.03688889,706.65
359,4176063,2021-04-27,4.08,5.55,41.7776111,-84.03688889,706.65
360,4176063,2021-04-27,4.08,5.55,41.7776111,-84.03688889,706.65
361,4176063,2021-04-28,4.12,5.55,41.7776111,-84.03688889,706.65
362,4176063,2021-04-28,4.12,5.55,41.7776111,-84.03688889,706.65
363,4176063,2021-04-29,4.43,5.55,41.7776111,-84.03688889,706.65
364,4176063,2021-04-29,4.43,5.55,41.7776111,-84.03688889,706.65
365,4176063,2021-04-30,4.52,5.56,41.7776111,-84.03688889,706.65
