"04175748","04176063","04176617","04177080","04177266","04178000","04181049","04182000","04183000","04183038","04183500","04183979","041843678","04184500","04185318","04185935","04186500","04188100","04188496","04190000","04191058","04191444","04191500","04192500"
0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,2,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,2,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,2,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0
0,0,0,1,1,1,2,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0
0,0,0,1,1,1,1,1,0,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1
0,0,0,1,1,1,1,1,2,0,2,2,1,1,1,1,1,1,0,1,1,1,1,1
0,0,0,1,1,1,1,1,2,2,0,2,1,1,1,1,1,1,0,1,1,1,1,1
0,0,0,1,1,1,1,1,2,2,2,0,1,1,1,1,1,1,0,1,1,1,1,1
1,1,0,1,1,1,0,0,1,1,1,1,0,2,2,1,1,1,0,1,1,1,1,1
1,1,0,1,1,1,0,0,1,1,1,1,2,0,2,1,1,1,0,1,1,1,1,1
1,1,0,1,1,1,0,0,1,1,1,1,2,2,0,1,1,1,0,1,1,1,1,1
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2,2,1,2,2,2,2,1
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,2,1,2,2,2,2,1
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,0,1,2,2,2,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,1,0,2,2,2,1
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,1,2,0,2,2,1
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,0,2,1
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,0,1
1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
