MonitoringLocationIdentifier,lat,lon
21OHIO_WQX-300828,39.905217,-80.933978
21OHIO_WQX-303563,38.768197,-82.463437
21OHIO_WQX-K01S10,41.2306,-82.6456
21OHIO_WQX-303531,38.432428,-82.493628
21OHIO_WQX-303718,39.455645,-81.461481
21OHIO_WQX-302125,41.43526,-81.52223
21OHIO_WQX-303458,39.03156,-83.9213
21OHIO_WQX-303589,38.541156,-82.307079
21OHIO_WQX-303580,40.5641,-81.3217
21OHIO_WQX-600070,39.6744,-84.2617
21OHIO_WQX-W03P08,39.3175,-82.2781
21OHIO_WQX-200753,38.7672,-82.4369
21OHIO_WQX-W03P36,38.8892,-82.3825
21OHIO_WQX-W04S02,39.063378,-81.881758
21OHIO_WQX-303558,38.695475,-82.459002
21OHIO_WQX-501040,41.335,-82.5772
21PA_WQX-MAHONUP3,41.0303,-80.5208
21OHIO_WQX-R06W42,40.9783,-81.7714
21OHIO_WQX-303667,38.643025,-82.28901
21OHIO_WQX-303585,38.70108,-82.195079
21OHIO_WQX-303567,38.711039,-82.385827
21OHIO_WQX-500040,41.0562,-83.6884
21OHIO_WQX-303702,40.5782,-81.2148
21OHIO_WQX-K01G09,41.0096,-82.5761
21OHIO_WQX-303279,41.817888,-81.094799
21OHIO_WQX-W03S07,39.1225,-82.4994
21OHIO_WQX-W03K10,39.0544,-82.4597
21OHIO_WQX-303578,40.4958,-81.2447
21OHIO_WQX-R08S14,40.5211,-81.3058
21OHIO_WQX-500220,41.3206,-84.2
21OHIO_WQX-303653,40.5634,-81.3123
21OHIO_WQX-303503,38.803802,-82.3708
21OHIO_WQX-X02K08,38.9195,-83.9283
21OHIO_WQX-R14S13,40.1408,-82.6919
21OHIO_WQX-R06P38,40.9617,-81.7806
21OHIO_WQX-303027,39.289612,-81.74608
21OHIO_WQX-303601,38.67677,-83.113329
21OHIO_WQX-K01W25,41.2456,-82.6914
21OHIO_WQX-W03W14,39.2167,-82.4049
21OHIO_WQX-303588,38.552747,-82.310379
21OHIO_WQX-600770,39.2122,-82.8647
21OHIO_WQX-303657,38.605272,-82.337841
21OHIO_WQX-R08S15,40.5256,-81.2883
21OHIO_WQX-301200,40.191611,-83.080322
21OHIO_WQX-W03W34,39.2644,-82.2883
21OHIO_WQX-303716,39.490281,-81.486747
21OHIO_WQX-303723,39.446773,-81.474549
21OHIO_WQX-R06P41,40.9633,-81.7808
21OHIO_WQX-303581,40.5772,-81.3915
