,site_no,latitude,longitude
1,4175748,41.8579611,-84.1596944
2,4175748,41.8579611,-84.1596944
3,4175748,41.8579611,-84.1596944
4,4175748,41.8579611,-84.1596944
5,4175748,41.8579611,-84.1596944
6,4175748,41.8579611,-84.1596944
7,4175748,41.8579611,-84.1596944
8,4175748,41.8579611,-84.1596944
9,4175748,41.8579611,-84.1596944
10,4175748,41.8579611,-84.1596944
11,4175748,41.8579611,-84.1596944
12,4175748,41.8579611,-84.1596944
13,4175748,41.8579611,-84.1596944
14,4175748,41.8579611,-84.1596944
15,4175748,41.8579611,-84.1596944
16,4175748,41.8579611,-84.1596944
17,4175748,41.8579611,-84.1596944
18,4175748,41.8579611,-84.1596944
19,4175748,41.8579611,-84.1596944
20,4175748,41.8579611,-84.1596944
21,4175748,41.8579611,-84.1596944
22,4175748,41.8579611,-84.1596944
23,4175748,41.8579611,-84.1596944
24,4175748,41.8579611,-84.1596944
25,4175748,41.8579611,-84.1596944
26,4175748,41.8579611,-84.1596944
27,4175748,41.8579611,-84.1596944
28,4175748,41.8579611,-84.1596944
29,4175748,41.8579611,-84.1596944
30,4175748,41.8579611,-84.1596944
31,4175748,41.8579611,-84.1596944
32,4175748,41.8579611,-84.1596944
33,4175748,41.8579611,-84.1596944
34,4175748,41.8579611,-84.1596944
35,4175748,41.8579611,-84.1596944
36,4175748,41.8579611,-84.1596944
37,4175748,41.8579611,-84.1596944
38,4175748,41.8579611,-84.1596944
39,4175748,41.8579611,-84.1596944
40,4175748,41.8579611,-84.1596944
41,4175748,41.8579611,-84.1596944
42,4175748,41.8579611,-84.1596944
43,4175748,41.8579611,-84.1596944
44,4175748,41.8579611,-84.1596944
45,4175748,41.8579611,-84.1596944
46,4175748,41.8579611,-84.1596944
47,4175748,41.8579611,-84.1596944
48,4175748,41.8579611,-84.1596944
49,4175748,41.8579611,-84.1596944
50,4175748,41.8579611,-84.1596944
51,4175748,41.8579611,-84.1596944
52,4175748,41.8579611,-84.1596944
53,4175748,41.8579611,-84.1596944
54,4175748,41.8579611,-84.1596944
55,4175748,41.8579611,-84.1596944
56,4175748,41.8579611,-84.1596944
57,4175748,41.8579611,-84.1596944
58,4175748,41.8579611,-84.1596944
59,4175748,41.8579611,-84.1596944
60,4175748,41.8579611,-84.1596944
61,4175748,41.8579611,-84.1596944
62,4175748,41.8579611,-84.1596944
63,4175748,41.8579611,-84.1596944
64,4175748,41.8579611,-84.1596944
65,4175748,41.8579611,-84.1596944
66,4175748,41.8579611,-84.1596944
67,4175748,41.8579611,-84.1596944
68,4175748,41.8579611,-84.1596944
69,4175748,41.8579611,-84.1596944
70,4175748,41.8579611,-84.1596944
71,4175748,41.8579611,-84.1596944
72,4175748,41.8579611,-84.1596944
73,4175748,41.8579611,-84.1596944
74,4175748,41.8579611,-84.1596944
75,4175748,41.8579611,-84.1596944
76,4175748,41.8579611,-84.1596944
77,4175748,41.8579611,-84.1596944
78,4175748,41.8579611,-84.1596944
79,4175748,41.8579611,-84.1596944
80,4175748,41.8579611,-84.1596944
81,4175748,41.8579611,-84.1596944
82,4175748,41.8579611,-84.1596944
83,4175748,41.8579611,-84.1596944
84,4175748,41.8579611,-84.1596944
85,4175748,41.8579611,-84.1596944
86,4175748,41.8579611,-84.1596944
87,4175748,41.8579611,-84.1596944
88,4175748,41.8579611,-84.1596944
89,4175748,41.8579611,-84.1596944
90,4175748,41.8579611,-84.1596944
91,4175748,41.8579611,-84.1596944
92,4175748,41.8579611,-84.1596944
93,4175748,41.8579611,-84.1596944
94,4175748,41.8579611,-84.1596944
95,4175748,41.8579611,-84.1596944
96,4175748,41.8579611,-84.1596944
97,4175748,41.8579611,-84.1596944
98,4175748,41.8579611,-84.1596944
99,4175748,41.8579611,-84.1596944
100,4175748,41.8579611,-84.1596944
101,4175748,41.8579611,-84.1596944
102,4175748,41.8579611,-84.1596944
103,4175748,41.8579611,-84.1596944
104,4175748,41.8579611,-84.1596944
105,4175748,41.8579611,-84.1596944
106,4175748,41.8579611,-84.1596944
107,4175748,41.8579611,-84.1596944
108,4175748,41.8579611,-84.1596944
109,4175748,41.8579611,-84.1596944
110,4175748,41.8579611,-84.1596944
111,4175748,41.8579611,-84.1596944
112,4175748,41.8579611,-84.1596944
113,4175748,41.8579611,-84.1596944
114,4175748,41.8579611,-84.1596944
115,4175748,41.8579611,-84.1596944
116,4175748,41.8579611,-84.1596944
